Order,Border Crossing Name,Code,Region,County,TxDOT District,Port Of Entry,City,Address,Lat,Lon
1,Good Neighbor Bridge,ELP-ELP-GOOD,El Paso,El Paso,El Paso,El Paso,El Paso,"1001 S Stanton St, El Paso, TX 79901",31.748237,-106.482685
2,Paso del Norte Bridge,ELP-ELP-PASO,El Paso,El Paso,El Paso,El Paso,El Paso,"1000 S El Paso St, El Paso, TX 79901",31.747743,-106.486957
3,Bridge of the Americas,ELP-ELP-BRID,El Paso,El Paso,El Paso,El Paso,El Paso,"3600 E Paisano Dr, El Paso, TX 79905",31.764479,-106.451596
4,BNSF Railroad Rail Bridge,ELP-ELP-ELPA-BNSF,El Paso,El Paso,El Paso,El Paso,El Paso,"805 S Santa Fe St
El Paso, TX 79901",31.747985,-106.488242
5,Union Pacific Railroad Rail Bridge,ELP-ELP-ELPA-UP,El Paso,El Paso,El Paso,El Paso,El Paso,"1115 Cesar E. Chavez Border Hwy, El Paso, TX 79901",31.747767,-106.484833
6,Ysleta Bridge,ELP-YSL-YSLE,El Paso,El Paso,El Paso,Ysleta,El Paso,"791 S Zaragoza Rd, El Paso, TX 79927",31.670966,-106.337869
7,Marcelino Serna Bridge,ELP-TOR-MARC,El Paso,El Paso,El Paso,Marcelino Serna,Tornillo,"1400 Lower Island Rd, Tornillo, TX 79853",31.432854,-106.147961
8,Fort Hancock-El Porvenir Bridge,ELP-TOR-FORT,El Paso,Hudspeth,El Paso,Marcelino Serna,Fort Hancock,"828 South HWY 1088, Fort Hancock, TX 79839",31.273184,-105.854543
9,Presidio-Ojinaga International Bridge,ELP-PSD-PRES,El Paso,Presidio,El Paso,Presidio,Presidio,"4902 US-67, Presidio, TX 79845",29.561906,-104.395144
10,Boquillas,ELP-BOQ-BOQU,El Paso,Brewster,El Paso,,Big Bend National Park,"Big Bend National Park, TX 79834",29.188742,-102.945046
11,Lake Amistad Dam Crossing,LRD-DLR-LAKA,Laredo,Val Verde,Laredo,Del Rio,Del Rio,"877 TX-349 Spur, Del Rio, TX 78840",29.449874,-101.058041
