Year,Month,Region,POE,Crossing,Modes,Northbound Crossing,source
2025,1,El Paso,El Paso,Bridge of the Americas,Buses,939,ELP_pdf
2025,1,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,12746,ELP_pdf
2025,1,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,274826,ELP_pdf
2025,1,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,91985,ELP_pdf
2025,1,El Paso,El Paso,El Paso Railroad Bridges,Railcars,9183,ELP_pdf
2025,1,El Paso,El Paso,Good Neighbor Bridge,Buses,0,ELP_pdf
2025,1,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0,ELP_pdf
2025,1,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,142164,ELP_pdf
2025,1,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0,ELP_pdf
2025,1,El Paso,El Paso,Paso del Norte Bridge,Buses,324,ELP_pdf
2025,1,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0,ELP_pdf
2025,1,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,233323,ELP_pdf
2025,1,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,252515,ELP_pdf
2025,1,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0,ELP_pdf
2025,1,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0,ELP_pdf
2025,1,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,9488,ELP_pdf
2025,1,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,124,ELP_pdf
2025,1,El Paso,Marcelino Serna,Marcelino Serna Bridge,Buses,0,ELP_pdf
2025,1,El Paso,Marcelino Serna,Marcelino Serna Bridge,Commercial Trucks,1966,ELP_pdf
2025,1,El Paso,Marcelino Serna,Marcelino Serna Bridge,Passenger Vehicles,55090,ELP_pdf
2025,1,El Paso,Marcelino Serna,Marcelino Serna Bridge,Pedestrians/ Bicyclists,5572,ELP_pdf
2025,1,El Paso,Presidio,Boquillas,Buses,0,ELP_pdf
2025,1,El Paso,Presidio,Boquillas,Commercial Trucks,0,ELP_pdf
2025,1,El Paso,Presidio,Boquillas,Passenger Vehicles,0,ELP_pdf
2025,1,El Paso,Presidio,Boquillas,Pedestrians/ Bicyclists,2614,ELP_pdf
2025,1,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,162,ELP_pdf
2025,1,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,1010,ELP_pdf
2025,1,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,62432,ELP_pdf
2025,1,El Paso,Presidio,Presidio-Ojinaga International Bridge,Pedestrians/ Bicyclists,14926,ELP_pdf
2025,1,El Paso,Ysleta,Ysleta Bridge,Buses,0,ELP_pdf
2025,1,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,55299,ELP_pdf
2025,1,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,296166,ELP_pdf
2025,1,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,156297,ELP_pdf
2025,2,El Paso,El Paso,Bridge of the Americas,Buses,775,ELP_pdf
2025,2,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,12123,ELP_pdf
2025,2,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,266540,ELP_pdf
2025,2,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,88324,ELP_pdf
2025,2,El Paso,El Paso,El Paso Railroad Bridges,Railcars,6478,ELP_pdf
2025,2,El Paso,El Paso,Good Neighbor Bridge,Buses,0,ELP_pdf
2025,2,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0,ELP_pdf
2025,2,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,134124,ELP_pdf
2025,2,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0,ELP_pdf
2025,2,El Paso,El Paso,Paso del Norte Bridge,Buses,322,ELP_pdf
2025,2,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0,ELP_pdf
2025,2,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,231149,ELP_pdf
2025,2,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,273889,ELP_pdf
2025,2,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0,ELP_pdf
2025,2,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0,ELP_pdf
2025,2,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,8968,ELP_pdf
2025,2,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,106,ELP_pdf
2025,2,El Paso,Marcelino Serna,Marcelino Serna Bridge,Buses,0,ELP_pdf
2025,2,El Paso,Marcelino Serna,Marcelino Serna Bridge,Commercial Trucks,2625,ELP_pdf
2025,2,El Paso,Marcelino Serna,Marcelino Serna Bridge,Passenger Vehicles,44330,ELP_pdf
2025,2,El Paso,Marcelino Serna,Marcelino Serna Bridge,Pedestrians/ Bicyclists,5095,ELP_pdf
2025,2,El Paso,Presidio,Boquillas,Buses,0,ELP_pdf
2025,2,El Paso,Presidio,Boquillas,Commercial Trucks,0,ELP_pdf
2025,2,El Paso,Presidio,Boquillas,Passenger Vehicles,0,ELP_pdf
2025,2,El Paso,Presidio,Boquillas,Pedestrians/ Bicyclists,2274,ELP_pdf
2025,2,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,163,ELP_pdf
2025,2,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,747,ELP_pdf
2025,2,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,53522,ELP_pdf
