ID,Year,Region,POE,Crossing,Modes,Northbound Crossing
2008-BRID-Buses,2008,El Paso,El Paso,Bridge of the Americas,Buses,14984
2008-BRID-Trucks,2008,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,414556
2008-BRID-POVs,2008,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,6234097
2008-BRID-Pedestrians,2008,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,809578
2008-BRID-Railcars,2008,El Paso,El Paso,Bridge of the Americas,Railcars,0
2008-GOOD-Buses,2008,El Paso,El Paso,Good Neighbor Bridge,Buses,0
2008-GOOD-Trucks,2008,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0
2008-GOOD-POVs,2008,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,1259235
2008-GOOD-Pedestrians,2008,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0
2008-GOOD-Railcars,2008,El Paso,El Paso,Good Neighbor Bridge,Railcars,0
2008-PASO-Buses,2008,El Paso,El Paso,Paso del Norte Bridge,Buses,9474
2008-PASO-Trucks,2008,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0
2008-PASO-POVs,2008,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,2169071
2008-PASO-Pedestrians,2008,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,6238781
2008-PASO-Railcars,2008,El Paso,El Paso,Paso del Norte Bridge,Railcars,0
2008-FORT-Buses,2008,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0
2008-FORT-Trucks,2008,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0
2008-FORT-POVs,2008,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,130162
2008-FORT-Pedestrians,2008,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,1507
2008-FORT-Railcars,2008,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Railcars,0
2008-PRES-Buses,2008,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,146
2008-PRES-Trucks,2008,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,6197
2008-PRES-POVs,2008,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,680218
2008-PRES-Pedestrians,2008,El Paso,Presidio,Presidio-Ojinaga International Bridge,Pedestrians/ Bicyclists,33408
2008-PRES-Railcars,2008,El Paso,Presidio,Presidio-Ojinaga International Bridge,Railcars,0
2008-YSLE-Buses,2008,El Paso,Ysleta,Ysleta Bridge,Buses,276
2008-YSLE-Trucks,2008,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,344300
2008-YSLE-POVs,2008,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,4054031
2008-YSLE-Pedestrians,2008,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,980574
2008-YSLE-Railcars,2008,El Paso,Ysleta,Ysleta Bridge,Railcars,0
2008-DELR-Buses,2008,Laredo,Del Rio,Del Rio International Bridge,Buses,236
2008-DELR-Trucks,2008,Laredo,Del Rio,Del Rio International Bridge,Commercial Trucks,57182
2008-DELR-POVs,2008,Laredo,Del Rio,Del Rio International Bridge,Passenger Vehicles,1487692
2008-DELR-Pedestrians,2008,Laredo,Del Rio,Del Rio International Bridge,Pedestrians/ Bicyclists,58174
2008-DELR-Railcars,2008,Laredo,Del Rio,Del Rio International Bridge,Railcars,0
2008-LAKA-Buses,2008,Laredo,Del Rio,Lake Amistad Dam Crossing,Buses,0
2008-LAKA-Trucks,2008,Laredo,Del Rio,Lake Amistad Dam Crossing,Commercial Trucks,0
2008-LAKA-POVs,2008,Laredo,Del Rio,Lake Amistad Dam Crossing,Passenger Vehicles,70550
2008-LAKA-Pedestrians,2008,Laredo,Del Rio,Lake Amistad Dam Crossing,Pedestrians/ Bicyclists,0
2008-LAKA-Railcars,2008,Laredo,Del Rio,Lake Amistad Dam Crossing,Railcars,0
